filename,exec_size,max_mem_kb,avg_time_sec
1.c,16K,1908,.001221787
10.c,16K,1980,.001291893
100.c,16K,1784,.001080230
101.c,16K,1976,.001237917
102.c,16K,2004,.001063758
103.c,16K,2024,.001104341
104.c,16K,1892,.001356241
105.c,16K,1972,.001113760
106.c,16K,1784,.001205301
107.c,16K,1976,.001299769
108.c,16K,1960,.001229148
109.c,16K,1980,.001078561
11.c,16K,2092,.001167862
110.c,16K,1908,.001046586
111.c,16K,13124,.814972640
112.c,16K,9284,.113031660
113.c,16K,5508,.490096284
114.c,16K,1716,.001130271
115.c,16K,1652,.001082182
116.c,16K,19276,.247855784
117.c,16K,1648,.001090827
118.c,16K,1716,.001018789
119.c,16K,2044,.003500485
12.c,16K,1952,.001162820
120.c,16K,1652,.001242697
121.c,16K,1580,.001115459
122.c,,,
123.c,16K,1648,.001006472
124.c,16K,1724,.001035366
125.c,16K,1760,.001307181
126.c,16K,1712,.001058215
127.c,16K,1708,.001063684
128.c,16K,1632,.001154709
129.c,16K,1640,.004563809
13.c,16K,1832,.001151772
130.c,17K,1764,.001049742
131.c,17K,2108,.001455450
132.c,16K,2004,.001271408
133.c,16K,2132,.001213249
134.c,16K,1860,.914186802
135.c,16K,9188,.003065586
136.c,16K,9164,.004441630
137.c,16K,1624,.001076578
138.c,16K,1720,.001050306
139.c,16K,1720,.001031028
14.c,16K,2024,.001080305
140.c,16K,1632,.001111829
141.c,16K,1628,.001166196
142.c,16K,1632,.001139240
143.c,16K,1640,.001501520
144.c,16K,1652,.001106545
145.c,16K,1648,.001145475
146.c,16K,1728,.001250807
147.c,16K,1708,.001098023
148.c,16K,1700,.001060342
149.c,16K,1728,.001072419
15.c,16K,1976,.001186218
150.c,16K,1700,.001336574
151.c,16K,1956,.001126050
152.c,16K,1912,.001121162
153.c,16K,1992,.001184548
154.c,16K,1768,.001181509
155.c,16K,1644,.001036208
156.c,16K,1720,.001228376
157.c,16K,1844,.001075668
158.c,16K,1764,.001148618
159.c,16K,1760,.001084684
16.c,16K,2068,.001157624
160.c,16K,1572,.001059850
161.c,16K,1716,.250038762
162.c,17K,1788,.001081151
163.c,16K,1704,.001107764
164.c,16K,1908,.001175892
165.c,16K,1712,.001000833
166.c,16K,1760,.001076134
167.c,16K,1768,.001052701
168.c,16K,1772,.001208006
169.c,17K,1840,.001181568
17.c,16K,1908,.001031550
170.c,16K,1720,.001056060
171.c,16K,1716,.001093988
172.c,16K,1736,.001117509
173.c,16K,1700,.001168624
174.c,16K,1728,.001121897
175.c,16K,1576,.001124919
176.c,16K,1728,.001022712
177.c,16K,5224,.002164404
178.c,16K,1628,.001046017
179.c,16K,1624,.001122958
18.c,16K,1960,.001008448
180.c,16K,1636,.001040133
181.c,16K,4404,.001916719
182.c,17K,13852,.032398266
183.c,16K,9264,.037231116
184.c,16K,9036,.005236902
185.c,16K,1720,.001385361
186.c,16K,1772,.001024902
187.c,16K,1796,.001341131
188.c,16K,5228,.002181854
189.c,16K,1840,.001047478
19.c,16K,1964,.001108294
190.c,16K,1760,.001018431
191.c,16K,21140,.010755220
192.c,16K,1708,.001051538
193.c,16K,1756,.001146994
194.c,16K,1720,.001011642
195.c,17K,9496,.023042422
196.c,16K,1648,.001044537
197.c,16K,5916,.003560792
198.c,16K,5504,.016760021
199.c,16K,5468,.019248279
2.c,16K,1964,.001086962
20.c,16K,1984,.001149038
200.c,16K,1988,.002031496
201.c,16K,3700,.006312851
202.c,16K,1824,.001047531
203.c,17K,2372,.009168005
204.c,16K,1880,.001246726
205.c,16K,1716,.001302084
206.c,16K,1796,.001329457
207.c,16K,1624,.001088864
208.c,16K,1964,.001908058
209.c,16K,1704,.001180668
21.c,16K,1960,.001119579
210.c,16K,1648,.001039146
211.c,16K,1576,.001108606
212.c,16K,1588,.001107484
213.c,16K,1708,.001082507
214.c,16K,1624,.001084575
215.c,16K,1644,.000985272
216.c,16K,1716,.001007929
217.c,16K,1644,.001196816
218.c,16K,1756,.001177631
219.c,16K,1656,.001601679
22.c,16K,1836,.001105085
220.c,16K,1716,.001048629
221.c,16K,1628,.001009945
222.c,16K,1648,.001023643
223.c,16K,1636,.001100011
224.c,16K,1636,.001164806
225.c,16K,1716,.001029597
226.c,16K,1636,.001062827
227.c,16K,1640,.001028594
228.c,16K,1856,.001532632
229.c,16K,1640,.001141861
23.c,16K,1960,.001192197
230.c,16K,1576,.001175022
231.c,16K,1716,.001074225
232.c,16K,1708,.001087601
233.c,16K,1648,.001102919
234.c,16K,1756,.001142125
235.c,16K,1720,.001031334
236.c,16K,1640,.001046060
237.c,16K,1644,.001173392
238.c,16K,1572,.001134537
239.c,16K,1716,.001057276
24.c,16K,1960,.001133043
240.c,16K,1648,.001170711
241.c,16K,1632,.007568372
242.c,16K,1624,.001088942
243.c,16K,1764,.001260745
244.c,16K,1716,.001153461
245.c,16K,1644,.001167847
246.c,16K,1640,.001108365
247.c,16K,1640,.001119868
248.c,16K,1636,.001203789
249.c,16K,1716,.001122456
25.c,16K,2004,.001221016
250.c,16K,1708,.001049597
251.c,16K,1844,.003445569
252.c,16K,1656,.001429420
253.c,16K,1628,.001129458
254.c,16K,1644,.001072290
255.c,16K,1764,.001623071
256.c,16K,1628,.001015415
257.c,16K,1644,.001225243
258.c,16K,1648,.001009306
259.c,16K,1628,.001333774
26.c,16K,1896,.001064808
260.c,16K,1624,.001097005
261.c,16K,1704,.001033697
262.c,16K,1708,.001145052
263.c,16K,1720,.001082875
264.c,16K,1776,.001123390
265.c,16K,1628,.001028640
266.c,16K,1724,.008640872
267.c,16K,1660,.001277133
268.c,16K,1640,.001248561
269.c,16K,1644,.001080715
27.c,16K,1964,.001189475
270.c,16K,1624,.001060784
271.c,16K,1716,.001027885
272.c,16K,1628,.001101088
273.c,16K,1720,.001165160
274.c,16K,1712,.001074112
275.c,16K,1732,.001227715
276.c,16K,1716,.001006137
277.c,16K,1628,.001107453
278.c,16K,1720,.004188132
279.c,16K,1644,.010150470
28.c,16K,2028,.001098323
280.c,16K,1756,.001027704
281.c,16K,1644,.001056593
282.c,16K,1640,.001097883
283.c,16K,1760,.001141242
284.c,16K,1652,.001085372
285.c,16K,1628,.001012293
286.c,16K,1712,.001005845
287.c,16K,1756,.001105347
288.c,16K,1716,.003577810
289.c,16K,1636,.001101280
29.c,16K,2064,.001121495
290.c,16K,1628,.001033161
291.c,16K,1624,.001137074
292.c,16K,1712,.004583426
293.c,16K,1640,.001035655
294.c,16K,1708,.001101348
295.c,16K,1712,.001019643
296.c,16K,1624,.001147366
297.c,16K,1716,.001330101
298.c,16K,1716,.001104826
299.c,16K,1628,.001060281
3.c,16K,1980,.001127582
30.c,16K,1968,.001023917
300.c,16K,1632,.001043919
31.c,16K,2064,.001126975
32.c,16K,1964,.001044150
33.c,16K,1892,.001090664
34.c,16K,1896,.001064528
35.c,16K,2064,.001105019
36.c,16K,1964,.001071792
37.c,16K,1976,.001127206
38.c,16K,1980,.001132796
39.c,16K,1908,.001064842
4.c,16K,2008,.001175423
40.c,16K,2004,.001014776
41.c,16K,1980,.001087716
42.c,16K,2064,.001191034
43.c,16K,1908,.001032042
44.c,16K,1972,.001194782
45.c,16K,2080,.001147422
46.c,16K,1824,.001087138
47.c,16K,2064,.001069800
48.c,16K,2064,.001038752
49.c,16K,2068,.001048610
5.c,16K,2044,.001075673
50.c,16K,1960,.001083821
51.c,16K,1908,.001148407
52.c,16K,1912,.001087480
53.c,16K,1976,.001093972
54.c,16K,2132,.001066379
55.c,16K,1892,.001041834
56.c,16K,2024,.001071080
57.c,16K,1960,.001111625
58.c,16K,2064,.001248410
59.c,16K,2008,.001101527
6.c,16K,2012,.001077467
60.c,16K,1980,.001014809
61.c,16K,1960,.001035577
62.c,16K,1980,.001073107
63.c,16K,2004,.001018055
64.c,16K,1940,.001037676
65.c,17K,1976,.001136889
66.c,16K,1892,.001107621
67.c,16K,1896,.001199044
68.c,16K,1972,.001104186
69.c,16K,1976,.001095446
7.c,16K,1980,.001145003
70.c,16K,1960,.001103412
71.c,16K,1784,.001138540
72.c,16K,1972,.001118343
73.c,16K,1888,.001123193
74.c,16K,1892,.001071266
75.c,16K,2064,.001023822
76.c,16K,1896,.001017853
77.c,16K,1980,.001037508
78.c,16K,1888,.001194033
79.c,16K,2064,.001118483
8.c,16K,1980,.001295858
80.c,16K,2024,.001025192
81.c,16K,1632,.001063297
82.c,16K,1980,.001011170
83.c,16K,1908,.001039420
84.c,16K,2004,.001135583
85.c,16K,1720,.001016466
86.c,16K,1972,.001127222
87.c,16K,1888,.001220841
88.c,16K,1972,.001094571
89.c,16K,1708,.001179895
9.c,17K,1980,.001083989
90.c,16K,1980,.001055893
91.c,16K,1832,.001097862
92.c,16K,1836,.001103737
93.c,16K,1832,.001175659
94.c,16K,2064,.001179289
95.c,16K,1716,.001023231
96.c,16K,1980,.001137315
97.c,16K,1960,.001124082
98.c,16K,2024,.001249031
99.c,,,
