filename,exec_size,max_mem_kb,avg_time_sec
1.c,16K,1604,.001109373
10.c,16K,1608,.001129489
100.c,16K,1492,.001083131
101.c,16K,1568,.000973393
102.c,16K,1520,.001017045
103.c,16K,1580,.001057050
104.c,16K,1644,.001150133
105.c,16K,1672,.001198853
106.c,16K,1372,.001038557
107.c,16K,1672,.001048710
108.c,16K,1648,.001035286
109.c,16K,1652,.001071630
11.c,16K,1684,.001078939
110.c,16K,1600,.001074859
111.c,16K,12820,.807150584
112.c,16K,8912,.154882990
113.c,16K,5224,.489822112
114.c,16K,1316,.001222218
115.c,16K,1332,.001000150
116.c,16K,18708,.241769084
117.c,16K,1344,.001068772
118.c,16K,1356,.001037730
119.c,16K,1624,.006238257
12.c,16K,1728,.001015553
120.c,16K,1332,.001147526
121.c,16K,1296,.001196929
122.c,16K,1264,.001036139
123.c,16K,1356,.001300061
124.c,16K,1356,.001111067
125.c,16K,1292,.001043498
126.c,16K,1328,.001116154
127.c,16K,1308,.001042276
128.c,16K,1260,.001122672
129.c,16K,1360,.002888101
13.c,16K,1572,.001054142
130.c,17K,1372,.001288555
131.c,17K,1688,.001636214
132.c,16K,1696,.001221120
133.c,16K,1676,.001102381
134.c,16K,1492,1.226070921
135.c,16K,1344,.001190038
136.c,16K,8852,.004487053
137.c,16K,1360,.001075718
138.c,16K,1340,.001071465
139.c,16K,1352,.001056580
14.c,16K,1596,.000989441
140.c,16K,1336,.001034990
141.c,16K,1300,.001090603
142.c,16K,1420,.001077375
143.c,16K,1344,.001304134
144.c,16K,1356,.001110163
145.c,16K,1296,.001059623
146.c,16K,1420,.001034395
147.c,16K,1268,.001063291
148.c,16K,1424,.001130623
149.c,16K,1364,.001032369
15.c,16K,1600,.001011819
150.c,16K,1348,.001042144
151.c,16K,1740,.001069900
152.c,16K,1716,.001010511
153.c,16K,1676,.001237471
154.c,16K,1412,.001177974
155.c,16K,1316,.001159884
156.c,16K,1316,.001087219
157.c,16K,1600,.001109409
158.c,16K,1352,.000975656
159.c,16K,1400,.001097988
16.c,16K,1592,.000999278
160.c,16K,1264,.001128290
161.c,16K,1356,.251347300
162.c,16K,1432,.001127773
163.c,16K,1360,.001067933
164.c,16K,1616,.001170944
165.c,16K,1424,.001072516
166.c,16K,1484,.001027151
167.c,16K,1428,.001073196
168.c,16K,1412,.001056609
169.c,16K,1420,.001198083
17.c,16K,1608,.001130411
170.c,16K,1292,.001354089
171.c,16K,1292,.001066085
172.c,16K,1420,.001048226
173.c,16K,1296,.006428730
174.c,16K,1404,.001170515
175.c,16K,1292,.001113178
176.c,16K,1344,.000988562
177.c,16K,4908,.002043956
178.c,16K,1296,.001043134
179.c,16K,1416,.001112506
18.c,16K,1512,.001294664
180.c,16K,1312,.001058667
181.c,16K,4084,.001983720
182.c,16K,13400,.031869044
183.c,16K,8900,.036982208
184.c,16K,8872,.005725702
185.c,16K,1360,.001451172
186.c,16K,1440,.001109757
187.c,16K,1404,.001234443
188.c,16K,4892,.002215222
189.c,16K,1384,.001071285
19.c,16K,1620,.001103478
190.c,16K,1400,.001146725
191.c,16K,20836,.010713769
192.c,16K,1340,.001097539
193.c,16K,1344,.001083897
194.c,16K,1352,.001022361
195.c,17K,9180,.021821534
196.c,16K,1336,.001094511
197.c,16K,5572,.003752718
198.c,16K,5220,.016580685
199.c,16K,4896,.019648979
2.c,16K,1672,.001053382
20.c,16K,1524,.001135036
200.c,16K,1724,.002138447
201.c,16K,3368,.006658300
202.c,16K,1424,.001398230
203.c,17K,2144,.010467516
204.c,16K,1932,.001318011
205.c,16K,1348,.001299379
206.c,16K,1572,.001404343
207.c,16K,1312,.001020757
208.c,16K,1736,.002038312
209.c,16K,1424,.001173636
21.c,16K,1596,.001043731
210.c,16K,1348,.001138263
211.c,16K,1296,.001025706
212.c,16K,1344,.001081648
213.c,16K,1356,.002578653
214.c,16K,1296,.001066295
215.c,16K,1360,.002915214
216.c,16K,1420,.002154996
217.c,16K,1312,.002685505
218.c,16K,1320,.001498416
219.c,16K,1428,.001688462
22.c,16K,1592,.001091168
220.c,16K,1356,.001910003
221.c,16K,1304,.002374246
222.c,16K,1360,.001413872
223.c,16K,1344,.001061226
224.c,16K,1304,.005483215
225.c,16K,1316,.002642940
226.c,16K,1296,.002435824
227.c,16K,1360,.001756308
228.c,16K,1560,.001691966
229.c,16K,1420,.003812698
23.c,16K,1608,.001015241
230.c,16K,1356,.008533233
231.c,16K,1364,.003087633
232.c,16K,1344,.001525214
233.c,16K,1336,.002613064
234.c,16K,1424,.001135714
235.c,16K,1424,.005453002
236.c,16K,1424,.002301764
237.c,16K,1348,.003629726
238.c,16K,1348,.002352870
239.c,16K,1340,.001501488
24.c,16K,1680,.001130655
240.c,16K,1360,.018976497
241.c,16K,1296,.006829446
242.c,16K,1420,.002411926
243.c,16K,1348,.001216359
244.c,16K,1296,.002546425
245.c,16K,1304,.001981851
246.c,16K,1340,.001142236
247.c,16K,1356,.002846114
248.c,16K,1348,.002000303
249.c,16K,1360,.004718814
25.c,16K,1648,.001023452
250.c,16K,1300,.001251060
251.c,16K,1484,.002482053
252.c,16K,1324,.001112112
253.c,16K,1340,.030440369
254.c,16K,1352,.006008483
255.c,16K,1336,.001804650
256.c,16K,1356,.004114869
257.c,16K,1420,.001536841
258.c,16K,1348,.003472804
259.c,16K,1340,.004960634
26.c,16K,1608,.001065142
260.c,16K,1344,.006010935
261.c,16K,1296,.008106005
262.c,16K,1340,.006833355
263.c,16K,1356,.001223112
264.c,16K,1372,.001048316
265.c,16K,1356,.026715300
266.c,16K,1304,.008128809
267.c,16K,1336,.003463762
268.c,16K,1316,.010641767
269.c,16K,1296,.003413152
27.c,16K,1608,.001233058
270.c,16K,1424,.003155864
271.c,16K,1356,.003730499
272.c,16K,1352,.003589903
273.c,16K,1296,.004447340
274.c,16K,1360,.002592940
275.c,16K,1324,.001351029
276.c,16K,1368,.001465405
277.c,16K,1420,.010468023
278.c,16K,1296,.003993336
279.c,16K,1268,.010416559
28.c,16K,1576,.001058012
280.c,16K,1300,.001032238
281.c,16K,1296,.003915044
282.c,16K,1348,.004549798
283.c,16K,1360,.002311674
284.c,16K,1252,.001220581
285.c,16K,1352,.004687705
286.c,16K,1300,.012302688
287.c,16K,1348,.001243380
288.c,16K,1360,.003868977
289.c,16K,1352,.066124748
29.c,16K,1616,.001088694
290.c,16K,1424,.004213831
291.c,16K,1348,.003940927
292.c,16K,1300,.004067778
293.c,16K,1420,.002909295
294.c,16K,1352,.002881730
295.c,16K,1352,.003567106
296.c,16K,1264,.003838992
297.c,16K,1420,.002898355
298.c,16K,1352,.056185108
299.c,16K,1316,.001286314
3.c,16K,1520,.001121801
30.c,16K,1572,.001115446
300.c,16K,1420,.001153488
31.c,16K,1576,.001030653
32.c,16K,2064,.001122023
33.c,16K,1648,.001067893
34.c,16K,1572,.001101781
35.c,16K,1520,.001098705
36.c,16K,1516,.001153582
37.c,16K,1608,.001032817
38.c,16K,1720,.001088677
39.c,16K,1576,.001077870
4.c,16K,1576,.001068855
40.c,16K,1612,.000983358
41.c,16K,1572,.001097343
42.c,16K,1672,.001163708
43.c,16K,1648,.001114120
44.c,16K,1616,.001187306
45.c,16K,1656,.001058600
46.c,16K,1664,.001101668
47.c,16K,1608,.001045614
48.c,16K,1604,.001181928
49.c,16K,1612,.001060956
5.c,16K,1728,.001191775
50.c,16K,1576,.001086027
51.c,16K,1592,.001000676
52.c,16K,1564,.001064356
53.c,16K,1716,.001068455
54.c,16K,2232,.001151532
55.c,16K,1620,.001107751
56.c,16K,1612,.001012702
57.c,16K,1604,.001089044
58.c,16K,1520,.001046658
59.c,16K,1596,.001071144
6.c,16K,1700,.001175023
60.c,16K,1524,.001065429
61.c,16K,1520,.001090696
62.c,16K,1608,.001087331
63.c,16K,1672,.001101022
64.c,16K,1620,.001083411
65.c,17K,1672,.001054126
66.c,16K,1612,.001071882
67.c,16K,1600,.001075796
68.c,16K,1644,.001087811
69.c,16K,1644,.001079482
7.c,16K,1704,.001143698
70.c,16K,1608,.001076139
71.c,16K,1412,.001122453
72.c,16K,1604,.001093795
73.c,16K,1720,.001098939
74.c,16K,1604,.001012019
75.c,16K,1600,.001164327
76.c,16K,1604,.001080482
77.c,16K,1648,.001016043
78.c,16K,1612,.001124290
79.c,16K,1720,.001086067
8.c,16K,1608,.001181550
80.c,16K,1716,.001071935
81.c,16K,1356,.001169764
82.c,16K,1612,.001133008
83.c,16K,1520,.001047314
84.c,16K,1524,.001056869
85.c,16K,1368,.001013409
86.c,16K,1608,.001007499
87.c,16K,1608,.001111408
88.c,16K,1648,.001012394
89.c,16K,1408,.001154241
9.c,17K,1596,.001110247
90.c,16K,1716,.001173797
91.c,16K,1724,.001053231
92.c,16K,1576,.001073479
93.c,16K,1644,.001092824
94.c,16K,1616,.001067887
95.c,16K,1384,.001116039
96.c,16K,1592,.000999710
97.c,16K,1600,.001100880
98.c,16K,1596,.001100068
99.c,16K,1592,.001072334
