filename,exec_size,max_mem_kb,avg_time_sec
1.c,16K,1792,.010469610
10.c,16K,1792,.020104693
100.c,16K,1536,.010169723
101.c,16K,1792,.010017849
102.c,16K,1792,.009895433
103.c,16K,1792,.010865391
104.c,16K,1792,.009961939
105.c,16K,1792,.010772657
106.c,16K,1536,.010612958
107.c,16K,1792,.010195735
108.c,16K,1792,.010923637
109.c,16K,1792,.010263761
11.c,16K,1792,.010526086
110.c,16K,1792,.010363852
111.c,16K,13184,1.369641160
112.c,16K,9344,.274199767
113.c,16K,5376,.836145516
114.c,16K,1536,.010328447
115.c,16K,1536,.008850578
116.c,16K,19200,.412907844
117.c,16K,1536,.010389266
118.c,16K,1536,.010116919
119.c,16K,1792,.013697548
12.c,16K,1792,.010535749
120.c,16K,1536,.010293518
121.c,16K,1536,.010339444
122.c,,,
123.c,16K,1536,.010488814
124.c,16K,1536,.010660877
125.c,16K,1536,.010404517
126.c,16K,1536,.010094761
127.c,16K,1536,.010166933
128.c,16K,1536,.010250609
129.c,16K,1536,.015069966
13.c,16K,1792,.011038610
130.c,17K,1664,.011164703
131.c,17K,1920,.011704265
132.c,16K,1920,.011163796
133.c,16K,2048,.010711598
134.c,16K,1792,1.892070392
135.c,16K,9216,.019437085
136.c,16K,9344,.021366097
137.c,16K,1536,.010964399
138.c,16K,1408,.011004353
139.c,16K,1536,.010733819
14.c,16K,1792,.010501278
140.c,16K,1536,.010881846
141.c,16K,1536,.011036708
142.c,16K,1536,.010576991
143.c,16K,1536,.010043801
144.c,16K,1536,.010694508
145.c,16K,1536,.010487393
146.c,16K,1536,.010765371
147.c,16K,1536,.010545325
148.c,16K,1536,.010562520
149.c,16K,1536,.010165802
15.c,16K,1792,.010645566
150.c,16K,1536,.010759831
151.c,16K,1792,.010858109
152.c,16K,1792,.010907290
153.c,16K,1920,.010860051
154.c,16K,1536,.010692537
155.c,16K,1536,.010495406
156.c,16K,1536,.010019899
157.c,16K,1664,.010601853
158.c,16K,1792,.011072395
159.c,16K,1664,.010659695
16.c,16K,1792,.010372839
160.c,16K,1536,.009892058
161.c,16K,1536,.227425777
162.c,17K,1536,-.043956840
163.c,16K,1536,.009977005
164.c,16K,1792,.011176154
165.c,16K,1536,.010173236
166.c,16K,1664,.010583363
167.c,16K,1536,.010276680
168.c,16K,1664,.010367261
169.c,17K,1536,.010747419
17.c,16K,1792,.010378931
170.c,16K,1536,.010378095
171.c,16K,1536,.010336512
172.c,16K,1536,.010231868
173.c,16K,1536,.010463259
174.c,16K,1536,.009896675
175.c,16K,1536,.010064166
176.c,16K,1536,.010084977
177.c,16K,5376,.013161191
178.c,16K,1536,.010381590
179.c,16K,1536,.010865698
18.c,16K,1792,.011052104
180.c,16K,1536,.010500537
181.c,16K,4608,.013958919
182.c,17K,13696,.045093890
183.c,16K,9392,.065009265
184.c,16K,9216,.022032531
185.c,16K,1536,.010780219
186.c,16K,1536,.010824598
187.c,16K,1536,.010363295
188.c,16K,5248,.014875451
189.c,16K,1536,.010463554
19.c,16K,1792,.010406223
190.c,16K,1536,.010167888
191.c,16K,20992,.033880018
192.c,16K,1536,.010145039
193.c,16K,1536,.009564309
194.c,16K,1536,.010570604
195.c,17K,9344,.035631128
196.c,16K,1536,.010173103
197.c,16K,5760,.016611388
198.c,16K,5376,.026778851
199.c,16K,5248,.030313602
2.c,16K,1792,.009902374
20.c,16K,1792,.010688606
200.c,16K,1792,.011506531
201.c,16K,3584,.017769015
202.c,16K,1536,.010359313
203.c,17K,2432,.019782236
