filename,exec_size,max_mem_kb,avg_time_sec
1.c,16K,1408,.009280663
10.c,16K,1408,.014335964
100.c,16K,1280,.009948154
101.c,16K,1408,.009976170
102.c,16K,1408,.009688115
103.c,16K,1408,.009798108
104.c,16K,1408,.009666274
105.c,16K,1408,.009655256
106.c,16K,1280,.010290034
107.c,16K,1408,.009104435
108.c,16K,1408,.008962200
109.c,16K,1408,.009174583
11.c,16K,1408,.008461494
110.c,16K,1408,.009267948
111.c,16K,12800,1.346470233
112.c,16K,8960,.408391168
113.c,16K,5120,.883800820
114.c,16K,1152,.009416680
115.c,16K,1152,.008596238
116.c,16K,18688,.392387004
117.c,16K,1152,.010114222
118.c,16K,1152,.009894459
119.c,16K,1536,.017143665
12.c,16K,1408,.009513601
120.c,16K,1152,.010547220
121.c,16K,1152,.009897977
122.c,16K,1152,.009833090
123.c,16K,1152,.010395534
124.c,16K,1152,.009872304
125.c,16K,1152,.009957461
126.c,16K,1152,.009637518
127.c,16K,1152,.009812033
128.c,16K,1152,.009836124
129.c,16K,1152,.012149538
13.c,16K,1408,.009694553
130.c,17K,1280,.010189631
131.c,17K,1536,.010715126
132.c,16K,1536,.010471716
133.c,16K,1664,.010154261
134.c,16K,1408,2.540622509
135.c,16K,1152,.010220954
136.c,16K,8960,.019673918
137.c,16K,1152,.009165177
138.c,16K,1152,.009783589
139.c,16K,1152,.009513252
14.c,16K,1408,.010015245
140.c,16K,1152,.010958129
141.c,16K,1152,.009576052
142.c,16K,1152,.009639605
143.c,16K,1152,.010045421
144.c,16K,1152,.009934169
145.c,16K,1152,.009635261
146.c,16K,1152,.009079296
147.c,16K,1152,.009258658
148.c,16K,1280,.009955960
149.c,16K,1152,.010176007
15.c,16K,1408,.009369326
150.c,16K,1152,.009852459
151.c,16K,1408,.009341483
152.c,16K,1408,.008888565
153.c,16K,1536,.010071193
154.c,16K,1280,.009652852
155.c,16K,1152,.009393282
156.c,16K,1152,.009355507
157.c,16K,1408,.009578417
158.c,16K,1152,.009624194
159.c,16K,1280,.009298745
16.c,16K,1408,.009913592
160.c,16K,1152,.009448161
161.c,16K,1152,.222362673
162.c,16K,1280,.009211000
163.c,16K,1152,.009945925
164.c,16K,1536,.010012020
165.c,16K,1280,.009544764
166.c,16K,1280,.009619826
167.c,16K,1280,.009940126
168.c,16K,1280,.009941225
169.c,16K,1280,.009688750
17.c,16K,1408,.010494043
170.c,16K,1152,.009276464
171.c,16K,1152,.009663784
172.c,16K,1280,.009501526
173.c,16K,1152,.020777704
174.c,16K,1280,.009756539
175.c,16K,1152,.008890746
176.c,16K,1152,.008657643
177.c,16K,4992,.013569415
178.c,16K,1152,.008925354
179.c,16K,1152,.009532500
18.c,16K,1408,.008549095
180.c,16K,1152,.009267573
181.c,16K,4224,.013178222
182.c,16K,13184,.044306325
183.c,16K,8996,.063456428
184.c,16K,8960,.021878393
185.c,16K,1152,.009789319
186.c,16K,1280,.010405869
187.c,16K,1280,.009620514
188.c,16K,4992,.014798698
189.c,16K,1280,.009854923
19.c,16K,1408,.009955966
190.c,16K,1280,.010255727
191.c,16K,20736,.032952744
192.c,16K,1152,.009947811
193.c,16K,1152,.009745177
194.c,16K,1152,.010324600
195.c,17K,9088,.035104163
196.c,16K,1152,.009504217
197.c,16K,5376,.016054987
198.c,16K,5120,.026282926
199.c,16K,4992,.029777569
2.c,16K,1408,.009773722
20.c,16K,1408,.010092687
200.c,16K,1408,.011173834
201.c,16K,3328,.017401433
202.c,16K,1280,.010606024
203.c,17K,2048,.020208579
204.c,16K,1920,.010623444
205.c,16K,1152,.010248709
206.c,16K,1408,.010342114
207.c,16K,1152,.009651554
208.c,16K,1408,.011024506
209.c,16K,1280,.009667011
21.c,16K,1408,.009978180
210.c,16K,1152,.009687464
211.c,16K,1152,.010138627
212.c,16K,1152,.009549491
213.c,16K,1152,.010905486
214.c,16K,1152,.010071308
215.c,16K,1152,.012000972
216.c,16K,1152,.065682127
217.c,16K,1152,.012512783
218.c,16K,1152,.011657294
219.c,16K,1152,.010567423
22.c,16K,1408,.009781683
220.c,16K,1152,.011026521
221.c,16K,1152,.011821256
222.c,16K,1152,.009911994
223.c,16K,1152,.010211140
224.c,16K,1152,.013688041
225.c,16K,1152,.012386916
226.c,16K,1152,.011738653
227.c,16K,1152,.010704822
228.c,16K,1408,.011319376
229.c,16K,1152,.013126141
23.c,16K,1408,.009684380
230.c,16K,1152,.018689519
231.c,16K,1152,.011178386
232.c,16K,1152,.009265614
233.c,16K,1152,.015342126
234.c,16K,1152,.009293731
235.c,16K,1152,.012775248
236.c,16K,1152,.010617529
237.c,16K,1152,.011399604
238.c,16K,1152,.009776010
239.c,16K,1152,.010171792
24.c,16K,1408,.010094630
240.c,16K,1152,.030320186
241.c,16K,1152,.017833375
242.c,16K,1152,.011766984
243.c,16K,1152,.009846930
244.c,16K,1152,.011050101
245.c,16K,1152,.011247946
246.c,16K,1152,.010042953
247.c,16K,1152,.012514223
248.c,16K,1152,.011224203
249.c,16K,1152,.025170856
25.c,16K,1408,.009829610
250.c,16K,1152,.011459143
251.c,16K,1408,.012551726
252.c,16K,1152,.009738293
253.c,16K,1152,.038150960
254.c,16K,1152,.014725837
255.c,16K,1152,.010526738
256.c,16K,1152,.012785727
257.c,16K,1152,.011026361
258.c,16K,1152,.013346647
259.c,16K,1152,.014212962
26.c,16K,1408,.011085492
260.c,16K,1152,.016576233
261.c,16K,1152,.016828667
262.c,16K,1152,.015786176
263.c,16K,1152,.010151989
264.c,16K,1152,.009892272
265.c,16K,1152,.051359757
266.c,16K,1152,.018941765
267.c,16K,1152,.011649662
268.c,16K,1152,.019545016
269.c,16K,1152,.013264242
27.c,16K,1408,.010231815
270.c,16K,1152,.012531092
271.c,16K,1152,.012567404
272.c,16K,1152,.012668072
273.c,16K,1152,.012922230
274.c,16K,1152,.011736317
275.c,16K,1152,.009927359
276.c,16K,1152,.010081076
277.c,16K,1152,.022906278
278.c,16K,1152,.014335258
279.c,16K,1152,.019863707
28.c,16K,1408,.009993479
280.c,16K,1152,.009614836
281.c,16K,1152,.013761700
282.c,16K,1152,.013530092
283.c,16K,1152,.011482896
284.c,16K,1152,.009510308
285.c,16K,1152,.013945101
286.c,16K,1152,.028566158
287.c,16K,1152,.010454934
288.c,16K,1152,.013289414
289.c,16K,1152,.071416816
29.c,16K,1408,.009496092
290.c,16K,1152,.012374604
291.c,16K,1152,.011891952
292.c,16K,1152,.013024486
293.c,16K,1152,.012478305
294.c,16K,1152,.011861460
295.c,16K,1152,.012371602
296.c,16K,1152,.016174081
297.c,16K,1152,.011823425
298.c,16K,1152,.074234961
299.c,16K,1152,.010014424
3.c,16K,1408,.010751511
30.c,16K,1408,.009706550
300.c,16K,1152,.009608378
31.c,16K,1408,.009709977
32.c,16K,1920,.009834781
33.c,16K,1408,.009798870
34.c,16K,1408,.009065820
35.c,16K,1408,.009791359
36.c,16K,1408,.009178118
37.c,16K,1408,.009949355
38.c,16K,1408,.012641736
39.c,16K,1408,.010038772
4.c,16K,1408,.017000655
40.c,16K,1408,.009603670
41.c,16K,1408,.009741253
42.c,16K,1408,.009715682
43.c,16K,1408,.009766711
44.c,16K,1408,.010273732
45.c,16K,1536,.010248711
46.c,16K,1408,.009491373
47.c,16K,1408,.009779118
48.c,16K,1408,.009663365
49.c,16K,1408,.010016520
5.c,16K,1536,.016897788
50.c,16K,1408,.009296348
51.c,16K,1408,.009898218
52.c,16K,1408,.009366498
53.c,16K,1408,.011409395
54.c,16K,2048,.009820322
55.c,16K,1408,.009640140
56.c,16K,1408,.010191835
57.c,16K,1408,.009635850
58.c,16K,1408,.009793413
59.c,16K,1408,.009549028
6.c,16K,1536,.016532323
60.c,16K,1408,.009617243
61.c,16K,1408,.009956276
62.c,16K,1408,.010136967
63.c,16K,1408,.009971732
64.c,16K,1408,.009728202
65.c,17K,1408,.010120756
66.c,16K,1408,.009488834
67.c,16K,1408,.009914482
68.c,16K,1408,.009878707
69.c,16K,1408,.010659954
7.c,16K,1536,.017118942
70.c,16K,1408,.010065899
71.c,16K,1280,.010118110
72.c,16K,1408,.010131032
73.c,16K,1408,.009752280
74.c,16K,1408,.009547628
75.c,16K,1408,.009569979
76.c,16K,1408,.009578371
77.c,16K,1408,.009451990
78.c,16K,1408,.009632727
79.c,16K,1408,.010125290
8.c,16K,1408,.021675501
80.c,16K,1408,.009229750
81.c,16K,1152,.009397729
82.c,16K,1408,.009007064
83.c,16K,1408,.009479428
84.c,16K,1408,.010078173
85.c,16K,1280,.009386178
86.c,16K,1408,.010320104
87.c,16K,1408,.010830766
88.c,16K,1408,.010067485
89.c,16K,1280,.009563759
9.c,17K,1408,.015925707
90.c,16K,1408,.010285266
91.c,16K,1408,.010323352
92.c,16K,1408,.009848640
93.c,16K,1408,.009371113
94.c,16K,1408,.009446156
95.c,16K,1280,.009234413
96.c,16K,1408,.010216127
97.c,16K,1408,.009301463
98.c,16K,1408,.009260700
99.c,16K,1408,.009493092
